rate,time,key_size,nbre_request,nbre_respond,avg_respond_time
1,1,2,1,1,613
1,3,2,3,3,370
1,5,2,5,5,650
1,10,2,10,10,482
10,1,2,10,10,550
10,3,2,30,30,523
10,5,2,50,50,523
10,10,2,100,100,529
100,1,2,100,100,733
100,3,2,299,299,567
100,5,2,498,498,575
100,10,2,998,998,582
200,1,2,199,199,535
200,3,2,597,597,555
200,5,2,995,995,551
200,10,2,1991,1991,556
300,1,2,298,298,546
300,3,2,893,893,528
300,5,2,1490,1490,509
300,10,2,2978,2978,505
400,1,2,397,397,520
400,3,2,1188,1188,523
400,5,2,1982,1982,528
400,10,2,3957,3957,546
500,1,2,495,495,592
500,3,2,1484,1484,592
500,5,2,2470,2470,595
500,10,2,4944,4944,594
1000,1,2,982,982,592
1000,3,2,2941,2941,599
1000,5,2,4909,4909,601
1000,10,2,9812,9812,651
1,1,4,1,1,918
1,3,4,3,3,213
1,5,4,5,5,434
1,10,4,10,10,562
10,1,4,10,10,686
10,3,4,30,30,617
10,5,4,50,50,633
10,10,4,100,100,541
100,1,4,100,100,603
100,3,4,300,300,573
100,5,4,498,498,571
100,10,4,997,997,574
200,1,4,199,199,553
200,3,4,597,597,558
200,5,4,996,996,547
200,10,4,1989,1989,540
300,1,4,298,298,556
300,3,4,894,894,533
300,5,4,1490,1490,528
300,10,4,2979,2979,469
400,1,4,397,397,523
400,3,4,1189,1189,514
400,5,4,1982,1982,534
400,10,4,3966,3966,538
500,1,4,495,495,589
500,3,4,1457,1457,608
500,5,4,2459,2459,588
500,10,4,4326,4326,661
1000,1,4,972,972,2545
1000,3,4,2918,2918,668
1000,10,4,1,0,0
1,1,4,1,1,219
1,3,4,3,3,277
1,5,4,5,5,473
1,10,4,10,10,498
10,1,4,10,10,278
10,3,4,30,30,564
10,5,4,50,50,488
10,10,4,100,100,591
100,1,4,100,100,569
100,3,4,299,299,562
100,5,4,499,499,565
100,10,4,998,998,561
200,1,4,199,199,525
200,3,4,598,598,556
200,5,4,995,995,539
200,10,4,1986,1986,560
300,1,4,298,298,544
300,3,4,894,894,523
300,5,4,1482,1482,563
300,10,4,2969,2969,534
400,1,4,395,395,537
400,3,4,1188,1188,525
400,5,4,1978,1978,522
400,10,4,3952,3952,561
500,1,4,486,486,581
500,3,4,971,971,668
500,5,4,2474,2474,625
500,10,4,4936,4936,617
1000,1,4,980,980,606
1000,3,4,2716,2716,623
1000,5,4,4880,4880,641
1000,10,4,9777,9777,648
1,1,8,1,1,289
1,3,8,3,3,413
1,5,8,5,5,268
1,10,8,10,10,505
10,1,8,10,10,301
10,3,8,30,30,595
10,5,8,50,50,539
10,10,8,100,100,631
100,1,8,100,100,591
100,3,8,299,299,613
100,5,8,498,498,600
100,10,8,996,996,603
200,1,8,199,199,612
200,3,8,597,597,596
200,5,8,995,995,576
200,10,8,1989,1989,575
300,1,8,298,298,317
300,3,8,894,894,263
300,5,8,1486,1486,415
300,10,8,2972,2972,326
400,1,8,396,396,560
400,3,8,1187,1187,564
400,5,8,1978,1978,579
400,10,8,3964,3964,596
500,1,8,494,494,636
500,3,8,1479,1479,630
500,5,8,2467,2467,627
500,10,8,4924,4924,627
1000,1,8,978,978,638
1000,3,8,2932,2932,635
1000,10,8,1,0,0
1,1,8,1,1,245
1,3,8,3,3,339
1,5,8,5,5,567
1,10,8,10,10,651
10,1,8,10,10,478
10,3,8,30,30,659
10,5,8,50,50,504
10,10,8,100,100,682
100,1,8,100,100,732
100,3,8,299,299,605
100,5,8,498,498,596
100,10,8,996,996,597
200,1,8,199,199,568
200,3,8,596,596,581
200,5,8,994,994,581
200,10,8,1992,1992,592
300,1,8,297,297,385
300,3,8,891,891,353
300,5,8,1486,1486,411
300,10,8,2971,2971,324
400,1,8,396,396,571
400,3,8,1188,1188,567
400,5,8,1977,1977,568
400,10,8,3946,3946,594
500,1,8,493,493,618
500,3,8,1474,1474,646
500,5,8,2462,2462,642
500,10,8,4936,4936,625
1000,1,8,974,974,667
1000,3,8,2922,2922,644
