n_thread,size,size_max_buffer,nbre_client
1,16,1,1
1,16,1,3
1,16,1,5
1,16,1,10
1,16,1,30
1,16,1,50
1,16,1,100
1,16,1,299
1,16,1,499
1,16,1,199
1,16,1,597
1,16,1,994
1,16,1,298
1,16,1,892
1,16,1,1493
1,16,1,398
1,16,7,1190
1,16,1,1982
1,16,1,496
1,16,3,1482
1,16,8,2473
1,16,1,980
1,16,1,2943
1,16,1,4904
1,16,1,1
1,16,1,3
1,16,1,5
1,16,1,10
1,16,1,30
1,16,1,50
1,16,1,100
1,16,1,299
1,16,1,499
1,16,1,199
1,16,1,597
1,16,1,996
1,16,1,299
1,16,2,893
1,16,1,1491
1,16,1,396
1,16,1,1189
1,16,1,1983
1,16,1,494
1,16,1,1488
1,16,1,2480
1,16,1,984
1,16,1,2951
1,16,1,4919
1,128,1,1
1,128,1,3
1,128,1,5
1,128,1,10
1,128,1,30
1,128,1,50
1,128,1,100
1,128,1,299
1,128,1,499
1,128,1,200
1,128,1,598
1,128,1,995
1,128,1,298
1,128,1,894
1,128,4,1489
1,128,1,397
1,128,1,1189
1,128,5,1978
1,128,1,495
1,128,1,1485
1,128,18,2469
1,128,46,975
1,128,14,2943
1,128,65,4885
1,128,1,1
1,128,1,3
1,128,1,5
1,128,1,10
1,128,1,30
1,128,1,50
1,128,1,100
1,128,1,300
1,128,1,499
1,128,1,199
1,128,1,598
1,128,1,997
1,128,1,298
1,128,1,894
1,128,2,1490
1,128,1,396
1,128,1,1182
1,128,22,1967
1,128,9,489
1,128,1,1488
1,128,1,2480
1,128,4,983
1,128,7,2949
1,128,6,4916
