rate,time,key_size,nbre_request,nbre_respond,avg_respond_time
1,1,16,1,1,950
1,3,16,3,3,27745
1,5,16,5,5,25160
10,1,16,10,10,25104
10,3,16,30,30,25114
10,5,16,50,50,22478
100,1,16,100,100,884
100,3,16,300,300,1340
100,5,16,500,500,1483
200,1,16,200,200,20153
200,3,16,598,598,13627
200,5,16,996,996,16794
500,1,16,486,486,14584
500,3,16,1483,1483,25668
500,5,16,2466,2466,27617
1000,1,16,983,983,15467
1000,3,16,2935,2935,18414
1000,5,16,4870,4870,19387
1,1,64,1,1,11923
1,3,64,3,3,11905
1,5,64,5,5,12283
10,1,64,10,10,11946
10,3,64,30,30,11849
10,5,64,50,50,11794
100,1,64,100,100,167894
100,3,64,300,300,553666
100,5,64,500,500,767883
200,1,64,200,200,956030
200,3,64,598,598,2505145
200,5,64,997,997,137472
500,1,64,495,495,3219299
500,1,64,494,494,2982846
1000,1,64,969,969,1562376
1,1,128,1,1,113536
1,3,128,3,3,113166
1,5,128,5,5,112340
10,1,128,10,10,184350
10,3,128,30,30,421516
10,5,128,50,50,530401
100,1,128,100,100,5274372
100,3,128,300,300,1607521
100,5,128,499,499,217459
200,1,128,199,199,10631370
200,3,128,597,597,-3491982
1,1,128,1,1,108851
1,3,128,3,3,107317
1,5,128,5,5,107733
10,1,128,10,10,157203
10,3,128,30,30,256391
10,5,128,50,50,334441
100,1,128,100,100,4905087
100,3,128,300,300,294228
100,5,128,499,499,-1744050
1,1,128,1,1,107044
1,3,128,3,3,107154
1,5,128,5,5,107077
10,1,128,10,10,159174
10,3,128,30,30,294203
10,5,128,50,50,362327
100,1,128,100,100,5105208
100,3,128,300,300,326583
100,5,128,500,500,-1214480
1,1,128,1,1,109114
1,3,128,3,3,109464
1,5,128,5,5,110687
10,1,128,10,10,181673
10,3,128,30,30,347975
10,5,128,50,50,474135
100,1,128,100,100,5126103
100,3,128,300,300,505268
100,5,128,499,499,-1193840
100,1,128,100,100,5211953
100,1,64,100,100,88830
100,3,64,300,300,244915
100,5,64,500,500,389511
200,1,64,200,200,665474
200,3,64,598,598,1957392
200,5,64,997,997,-1055467
100,1,64,100,100,93796
100,3,64,300,300,244424
100,5,64,499,499,379867
200,1,64,200,200,665817
200,3,64,598,598,1969316
200,5,64,996,996,-1064082
100,1,64,100,100,96596
100,3,64,300,300,242092
100,5,64,500,500,383183
200,3,2,598,598,93975
100,3,2,300,300,9358
100,3,4,300,300,11397
100,3,8,300,300,14618
100,3,16,300,300,87533
100,3,32,300,300,461077
100,3,64,300,300,532381
100,3,128,300,300,2932389
100,3,256,219,299,5435088
100,3,128,298,300,2496251

100,3,16,300,300,17220
100,3,32,300,300,17923
100,3,64,300,300,232159
100,3,128,2,8,59527
