n_thread,size,size_max_buffer,nbre_client
1,128,1,1
1,128,1,3
1,128,1,5
1,128,1,10
1,128,1,30
1,128,1,50
1,128,1,100
1,128,4,300
1,128,4,500
1,128,8,200
1,128,8,598
1,128,10,996
1,128,11,486
1,128,12,1483
1,128,14,2466
1,128,13,983
1,128,13,2935
1,128,18,4870
1,512,1,1
1,512,1,3
1,512,1,5
1,512,1,10
1,512,1,30
1,512,1,50
1,512,25,100
1,512,78,300
1,512,116,500
1,512,133,200
1,512,370,598
1,512,644,997
1,512,429,495
1,512,428,494
1,512,898,969
1,1024,1,1
1,1024,1,3
1,1024,1,5
1,1024,2,10
1,1024,6,30
1,1024,8,50
1,1024,91,100
1,1024,275,300
1,1024,456,499
1,1024,190,199
1,1024,572,597
2,1024,1,1
2,1024,1,3
2,1024,1,5
2,1024,1,10
2,1024,3,30
2,1024,4,50
2,1024,90,100
2,1024,272,300
2,1024,451,499
3,1024,1,1
3,1024,1,3
3,1024,1,5
3,1024,1,10
3,1024,2,30
3,1024,3,50
3,1024,90,100
3,1024,270,300
3,1024,452,500
4,1024,1,1
4,1024,1,3
4,1024,1,5
4,1024,1,10
4,1024,1,30
4,1024,3,50
4,1024,88,100
4,1024,272,300
4,1024,451,499
10,1024,88,100
2,512,13,100
2,512,40,300
2,512,65,500
2,512,113,200
2,512,339,598
2,512,564,997
3,512,13,100
3,512,39,300
3,512,63,499
3,512,113,200
3,512,339,598
3,512,563,996
4,512,12,100
4,512,38,300
4,512,62,500
1,512,47,598
1,512,5,300
1,512,5,300
1,512,5,300
1,512,27,300
1,512,74,300
1,512,77,300
2,512,5,300
2,512,4,300
2,512,38,300
